name,sub_category,brand,unit_price,discount,discount_price,pix_discount,pix_price,code,link
Protetor Solar Bebê FPS 70 120mL,Protetor Solar,generico,"R$ 79,99",0%,"R$ 78,39",-2,"R$ 78,39",Cód: 1046249,https://www.farmaponte.com.br/protetor-solar-bebe-fps-70-120ml/p
Brasart Bcc 320+5 Mg  30 Comprimidos,Anti-hipertensivos,EMS Sigma Pharma,"R$ 130,86",39%,"R$ 78,84",-40,"R$ 78,84",Cód: 1014818,https://www.farmaponte.com.br/brasart-bcc-3205mg-30cpr/p
"Dermodex Tratamento 100.000Ui G + 200Mg G, Caixa Com 1 Bisnaga Com 60G De Pomada De Uso Dermatologico",Antimicotico,Takeda,"R$ 99,99",10%,"R$ 88,19",-12,"R$ 88,19",Cód: 11576,https://www.farmaponte.com.br/dermodex-tratamento-100000uig-200mgg-caixa-com-1-bisnaga-com-60g-de-pomada-de-uso-dermatologico/p
Roupa Intima Tena Pants Noturna G EG Com 16 Unidades,Fralda Adulta e Roupa Íntima,Tena,"R$ 99,85",20%,"R$ 78,30",-22,"R$ 78,30",Cód: 1044984,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-g-eg-com-16-unidades/p
Hawaiian Tropic Island Sport Locion Protetor Solar FPS 50 240ml,Protetor Solar,generico,"R$ 72,49",0%,"R$ 71,04",-2,"R$ 71,04",Cód: 1051973,https://www.farmaponte.com.br/hawaiian-tropic-island-sport-locion-protetor-solar-fps-50-240ml/p
Loção Hidratante Cetaphil Corpo E Rosto 473mL,Hidratante Corporal,Cetaphil,"R$ 99,90",0%,"R$ 97,90",-2,"R$ 97,90",Cód: 803630,https://www.farmaponte.com.br/locao-hidratante-cetaphil-473ml/p
Shampoo Nazca Acqua Kids 2x1 Uva E Aloe Vera 250mL,Shampoo Infantil,Acqua Kids,"R$ 13,99",0%,"R$ 13,71",-2,"R$ 13,71",Cód: 1003947,https://www.farmaponte.com.br/shampoo-infantil-2-em-1-acqua-kids-uva-e-aloe-vera-250ml/p
Hidratante Bepantol Sensicalm com 275ml.,Hidratante Corporal,Bepantol,,,"R$ 126,54",-12,"R$ 126,54",Cód: 1033056,https://www.farmaponte.com.br/bepantol-sensicalm-275ml/p
Creme Dental Oral-B 3D White Perfection 102g,Creme E Gel Dental,Oral-B,"R$ 23,42",10%,"R$ 20,66",-12,"R$ 20,66",Cód: 1029402,https://www.farmaponte.com.br/cd-oral-b-3d-white-perfection-75ml/p
Colágeno Hidrolisado com Vitamina A 1000mg Stem 100 comprimidos,Vitaminas & Minerais,generico,"R$ 97,69",11%,"R$ 85,25",-13,"R$ 85,25",Cód: 1033236,https://www.farmaponte.com.br/colageno-hidrolisado-com-vitamina-a-1000mg-stem-100-comprimidos/p
Revista Patrulha 365 Desenhos para Colorir,Mamãe  e Bebê,generico,"R$ 11,99",0%,"R$ 11,75",-2,"R$ 11,75",Cód: 1048540,https://www.farmaponte.com.br/revista-patrulha-365-desenhos-para-colorir/p
"Diclin 2Mg + 0,035Mg, Caixa Com 21 Comprimidos Revestidos",Antiacneico,Merck,"R$ 25,40",10%,"R$ 22,40",-12,"R$ 22,40",Cód: 70580,https://www.farmaponte.com.br/diclin-2mg-0035mg-caixa-com-21-comprimidos-revestidos/p
Máscara Lavavel Neoprene com Espuma Adulta Tripla Proteção Tamanho P RBS,Máscara de Proteção,R.B.S. Estamparia,"R$ 9,45",10%,"R$ 8,34",-12,"R$ 8,34",Cód: 1039770,https://www.farmaponte.com.br/mascara-lavavel-adulto-tripla-p-rbs/p
Tintura Maxton Mini N.6.66 Verm Cerej,Coloração,Maxton,"R$ 16,05",0%,"R$ 15,73",-2,"R$ 15,73",Cód: 1013788,https://www.farmaponte.com.br/t-maxton-mini-n666-verm-cerej/p
"Perfume Feminino Fiorucci Dolce Amore Eau De Cologne, 100Ml",Perfumes,Fiorucci,"R$ 64,99",0%,"R$ 63,69",-2,"R$ 63,69",Cód: 1036708,https://www.farmaponte.com.br/perfume-feminino-fiorucci-dolce-amore-eau-de-cologne-100ml/p
Apevitin Bc solução oral frasco com 240ml,Orexígeno,EMS,"R$ 58,76",57%,"R$ 24,96",-58,"R$ 24,96",Cód: 25313,https://www.farmaponte.com.br/apevitin-bc-susp-ems/p
Pó Compacto Vult Tradicional V440,Pó Compacto,generico,"R$ 27,99",15%,"R$ 23,22",-17,"R$ 23,22",Cód: 1050006,https://www.farmaponte.com.br/po-compacto-vult-tradicional-v440/p
"Neocoflan 11,6Mg G, Caixa Com 1 Tubo Aerossol Com 85Ml De Solucao De Uso Dermatologico",Reumatismo,Neo Química,"R$ 51,97",48%,"R$ 26,66",-49,"R$ 26,66",Cód: 1018146,https://www.farmaponte.com.br/neocoflan-116mgg-caixa-com-1-tubo-aerossol-com-85ml-de-solucao-de-uso-dermatologico/p
Escova De Dente Powerdent Pro Sensitive Ortho 2162,Escova Dental,PowerDent,"R$ 12,75",0%,"R$ 12,50",-2,"R$ 12,50",Cód: 1030567,https://www.farmaponte.com.br/ed-powerdent-powerpro-20-or-2162/p
"Creme Térmico Coliflax Mulher C 10 Sachê 2,5g",Absorventes,Coliflax,"R$ 29,90",0%,"R$ 29,30",-2,"R$ 29,30",Cód: 1052398,https://www.farmaponte.com.br/creme-termico-coliflax-mulher-c-10-sache-25g/p
Coloração Amend Magnific Color Cereja - 66.46,Esmaltes e Base,generico,,,"R$ 5,64",-5,"R$ 5,64",Cód: 797892,https://www.farmaponte.com.br/em-color-cereja/p
Tintura Casting Gloss N210 Preto Azulado,Coloração,L'Oréal Paris,"R$ 42,58",13%,"R$ 36,25",-15,"R$ 36,25",Cód: 799369,https://www.farmaponte.com.br/tintura-casting-gloss-n210-preto-azulado/p
Máscara PFF2 com 1 unidade Amarela Polimed,Máscara de Proteção,generico,,,"R$ 4,90",-26,"R$ 4,90",Cód: 1042114,https://www.farmaponte.com.br/mascara-facial-pff-2-amarela-unidades-poli/p
Estomazil Sem Sabor 1 Envelope X50,Digestivo,Cosmed,"R$ 3,48",0%,"R$ 3,41",-2,"R$ 3,41",Cód: 1018686,https://www.farmaponte.com.br/estomazil-sem-sabor-1env-x50-fr25/p
Complemento Alimentar Nutren Control Baunilha 380g,Complemento Alimentar para Adultos,Nutren,,,"R$ 81,40",-12,"R$ 81,40",Cód: 1041740,https://www.farmaponte.com.br/suplemento-alimentar-nutren-control-diet-baunilha-380gr/p
Curativo Hidrocoloide P Acnes e Espinhas C 24 Cremer,Antiacneico,generico,"R$ 26,50",0%,"R$ 25,97",-2,"R$ 25,97",Cód: 1053095,https://www.farmaponte.com.br/curativo-hidrocoloide-p-acnes-e-espinhas-c-24-cremer/p
Sonitus Melatonina 210mcg Kester 120 comprímidos,Vitaminas & Minerais,generico,"R$ 52,15",0%,"R$ 51,11",-2,"R$ 51,11",Cód: 1042443,https://www.farmaponte.com.br/sonitus-210-mcg-com-120-cpr-kester-melatonina/p
"Lacto-Leve 698mg/mL, frasco com 120mL de solução de uso oral, sem sabor",Laxantes e Purgantes,Cosmed,,,"R$ 42,02",-2,"R$ 42,02",Cód: 1038408,https://www.farmaponte.com.br/lacto-leve-698mgml-frasco-com-120ml-de-solucao-de-uso-oral-sem-sabor/p
"Maracugina PI 260mg, caixa com 20 comprimidos revestidos",Hipnóticos Sedativos,Cosmed,,,"R$ 26,88",-17,"R$ 26,88",Cód: 1033877,https://www.farmaponte.com.br/maracugina-pi-260mg-caixa-com-20-comprimidos-revestidos/p
"Sabonete de Glicerina Granado Bebe Lavanda, Liquido, 1 Unidade Com 250Ml",Sabonete Líquido Infantil,Granado,"R$ 27,19",12%,"R$ 23,51",-14,"R$ 23,51",Cód: 1000186,https://www.farmaponte.com.br/sabonete-de-glicerina-granado-bebe-lavanda-liquido-1-unidade-com-250ml/p
Bálsamo Bengué Pomada 20G,Reumatismo,EMS,"R$ 26,99",8%,"R$ 24,40",-10,"R$ 24,40",Cód: 3786,https://www.farmaponte.com.br/balsamo-bengue-025gg-025gg-caixa-com-1-bisnaga-com-20g-de-pomada-de-uso-dermatologico/p
Oleo Paixao Irresistivel Flor De Lis Com 100Ml,Cremes Para O Corpo,generico,"R$ 14,53",10%,"R$ 12,82",-12,"R$ 12,82",Cód: 1043473,https://www.farmaponte.com.br/oleo-paixao-irresistivel-flor-de-lis-com-100ml/p
Caneca kuka fun 300 menina 6152,Copo Infantil,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 1026551,https://www.farmaponte.com.br/caneca-kuka-fun-300-menina-6152/p
Probiótico Multi-Bi 495 com 10 Cápsulas,Regulador Intestinal,generico,"R$ 117,93",18%,"R$ 94,56",-20,"R$ 94,56",Cód: 1044220,https://www.farmaponte.com.br/probiotico-multi-bi-com-10-capsulas/p
Aparelho Monitor de Pressão Arterial Automatico Braco Omron 7142,Medidor de Pressão,generico,"R$ 279,00",12%,"R$ 241,07",-14,"R$ 241,07",Cód: 1047855,https://www.farmaponte.com.br/aparelho-monitor-de-pressao-arterial-automatico-braco-omron-7142/p
Consoni Melatonina 210mcg Kester 30ml,Anti Histaminico E Antialergico Topico,generico,"R$ 52,04",10%,"R$ 45,98",-12,"R$ 45,98",Cód: 1042773,https://www.farmaponte.com.br/consoni-melatonina-gotas-30ml/p
Bronzeador Solar Fotoprot Fps30 100 Ml,Bronzeadores,generico,,,"R$ 15,67",-8,"R$ 15,67",Cód: 1012290,https://www.farmaponte.com.br/br-solar-fotoprot-fps30-100ml/p
Prendedor De Chupeta Lolly Rosa Ref7070,Chupeta,Lolly,,,"R$ 13,71",-2,"R$ 13,71",Cód: 1036914,https://www.farmaponte.com.br/prendedor-de-chupeta-lolly-sortido-com-2-unidades/p
Ed bitufo ben10 c pr hol 243,Escova Dental Infantil,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 1003334,https://www.farmaponte.com.br/ed-bitufo-ben10-c-pr-hol-243/p
Fralda Bummis Hiper Pacotão XG c 58,Fraldas,generico,"R$ 76,49",6%,"R$ 70,45",-8,"R$ 70,45",Cód: 1045491,https://www.farmaponte.com.br/fralda-bummis-hiper-pacotao-eg-c-58/p
Máscara Facial Negra Beauty 4 Fun,Máscara Facial,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 7895389150605,https://www.farmaponte.com.br/mascara-facial-negra-beauty-4-fun/p
Miss Frandy Pincel Pm16-60209 Champagne Sombra,Pinceis,generico,"R$ 7,19",0%,"R$ 7,05",-2,"R$ 7,05",Cód: 1042649,https://www.farmaponte.com.br/miss-frandy-pincel-pm16-60209-champagne-sombra/p
Gel Fix Isacare Azul 230gr,Finalizador,generico,"R$ 11,69",0%,"R$ 11,46",-2,"R$ 11,46",Cód: 1046504,https://www.farmaponte.com.br/gel-fix-isacare-azul-230g/p
"Umidificador De Ar Ultrassonico Fisher-Price Bivolt, 3,4L",Umidificador de Ar,Mattel,,,"R$ 225,39",-13,"R$ 225,39",Cód: 1039551,https://www.farmaponte.com.br/umidificador-de-ar-ultrassonico-fisher-price-bivolt-34l/p
Caneca kuka fun 300 menino 6151,Copo Infantil,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 1026550,https://www.farmaponte.com.br/caneca-kuka-fun-300-menino-6151/p
Valsartana 320mg com 30 Comprimidos Revestidos Aché Biosintética Genérico,Anti-hipertensivos,Biosintética - Aché,"R$ 70,17",33%,"R$ 46,07",-34,"R$ 46,07",Cód: 1011293,https://www.farmaponte.com.br/valsartana-320mg-ache-caixa-com-30-comprimidos-revestidos/p
Fralda Fita Mamypoko Dia Noite P Com 50,Fraldas,generico,,,"R$ 34,20",-38,"R$ 34,20",Cód: 1041153,https://www.farmaponte.com.br/fralda-fita-mamypoko-dia-noite-p-com-50/p
Bico de Mamadeira Mam Fluxo Super Rápido 1 Unidade,Bico de Mamadeira,MAM,"R$ 40,49",0%,"R$ 39,68",-2,"R$ 39,68",Cód: 1033166,https://www.farmaponte.com.br/bico-de-mamadeira-mam-6-meses-bico-x-1-unidade/p
Aparelho Barbear Presto Reg C 2,Aparelhos De Barbear,P&G,"R$ 7,17",10%,"R$ 6,32",-12,"R$ 6,32",Cód: 69051,https://www.farmaponte.com.br/ap-b-presto-reg-c-2/p
Carbocisteína - EMS 100mg xarope frasco com 100ml infantil,Broncodilatador,generico,"R$ 25,45",20%,"R$ 19,95",-22,"R$ 19,95",Cód: 88153,https://www.farmaponte.com.br/carbocisteina-ems-100mg-xarope-frasco-com-100ml-infantil/p
"Ozempic 1,34mg mL Solução Injetável 1mg + 4 Agulhas Ozempic 1,34mg mL 3ml de Solução Injetável + 1 S",Antidiabéticos,Novo Nordisk,,,"R$ 1.234,73",-5,"R$ 1.234,73",Cód: 1037355,https://www.farmaponte.com.br/ozempic-134mgml-caixa-com-1-carpule-com-3ml-1-sistema-para-aplicacao-com-doses-de-1mg-4-agulhas-de-solucao-injetavel-de-uso-subcutaneo/p
Triplenex Solução Oftalmica Estéril 5ml Allergan,Antiglaucomatoso,Allergan,"R$ 269,24",5%,"R$ 250,66",-7,"R$ 250,66",Cód: 1036160,https://www.farmaponte.com.br/triplenex-sol-oft-5ml/p
Sabonete Liquído Labotrat Dia A Dia Cereja 190ML,Sabonetes Líquidos,generico,"R$ 19,90",0%,"R$ 19,50",-2,"R$ 19,50",Cód: 1053122,https://www.farmaponte.com.br/sabonete-liquido-labotrat-dia-a-dia-cereja-190ml/p
"Gestinol 0,30mg+0,075mg 84 Comprimidos Revestidos",Anticoncepcional,Libbs,"R$ 165,01",27%,"R$ 117,50",-29,"R$ 117,50",Cód: 1009490,https://www.farmaponte.com.br/gestinol-3x28cpr/p
"Loção Bronzeadora Cenoura & Bronze Efeito Dourado FPS 6, com cor, 1 unidade com 110mL",Bronzeadores,Cenoura & Bronze,,,"R$ 22,54",-2,"R$ 22,54",Cód: 1037719,https://www.farmaponte.com.br/protetor-solar-cenoura-amp-bronze-efeito-dourado-locao-fps-6-110ml/p
Escova Dental Powerdent Torcedor Sao Paulo 1023,Escova Dental,PowerDent,"R$ 8,39",0%,"R$ 8,22",-2,"R$ 8,22",Cód: 1011936,https://www.farmaponte.com.br/escova-dental-powerdent-torcedor-sao-paulo/p
Ampola Cap Pantene Gold 1X15ML,Tratamento Capilar,Pantene,"R$ 14,23",10%,"R$ 12,55",-12,"R$ 12,55",Cód: 1010138,https://www.farmaponte.com.br/amp-cap-pantene-gold-1x15ml/p
"Antisséptico Bucal Listerine Cool Mint Zero Álcool cool mint, 1 unidade com 500mL + R$1,99 leve 1 unidade com 250mL",Enxaguantes Bucais,Listerine,,,"R$ 29,80",-12,"R$ 29,80",Cód: 1011864,https://www.farmaponte.com.br/listerine-zero-500ml250ml/p
Dropropizina Xarope Adulto 3mg mL com 120mL + Copo Medidor Aché Biosintética Genérico,Antitussigeno,generico,"R$ 18,70",0%,"R$ 18,33",-2,"R$ 18,33",Cód: 1028759,https://www.farmaponte.com.br/dropropizina-biosintetica-3mgml-caixa-com-1-frasco-com-120ml-de-xarope-adulto-1-copo-medidor/p
Shampoo Anticaspa Darrow Doctar Sensi 120mL,Shampoo Anticaspa,Darrow,,,"R$ 66,68",-2,"R$ 66,68",Cód: 1037373,https://www.farmaponte.com.br/zze-doctar-sensi-sh-120ml/p
"Redubio Shake Slim Baunilha, 210G",Perda de Peso,Redubío,,,"R$ 19,50",-45,"R$ 19,50",Cód: 1037580,https://www.farmaponte.com.br/redubio-shake-slim-baunilha-210g/p
Spidufen 770mg 20 comprimidos,Analgésico Antitérmico,Zambon,,,"R$ 56,08",-18,"R$ 56,08",Cód: 1044962,https://www.farmaponte.com.br/spidufen-770mg-20-comprimidos/p
"Neutrofer 150Mg, Caixa Com 30 Comprimidos Revestidos",Vitaminas & Minerais,EMS Sigma Pharma,"R$ 35,76",8%,"R$ 32,24",-10,"R$ 32,24",Cód: 1017195,https://www.farmaponte.com.br/neutrofer-150mg-caixa-com-30-comprimidos-revestidos/p
Kit Lol Suave Shampoo 250Ml + Condicionador 230Ml + Batom Infantil Gratis,Kit Shampoo e Condicionador Infantil,Biotropic,"R$ 53,67",26%,"R$ 39,05",-27,"R$ 39,05",Cód: 1035741,https://www.farmaponte.com.br/kit-biotropic-lol-shampoo-250ml-condicionador-230ml-gratis-batom-infantil/p
Sabonete Líquido Labotrat Dia a Dia Pitaya 190mL,Sabonetes Líquidos,generico,"R$ 19,90",0%,"R$ 19,50",-2,"R$ 19,50",Cód: 1047892,https://www.farmaponte.com.br/sabonete-liquido-labotrat-dia-a-dia-pitaya-190ml/p
Máscara PFF2 Infantil com 1 unidade Verde Polimed,Máscara de Proteção,generico,,,"R$ 4,90",-26,"R$ 4,90",Cód: 1042127,https://www.farmaponte.com.br/mascara-pff2-inf-verde-poli-un/p
Creme Dental Elmex Sensitive 110g,Creme E Gel Dental,generico,"R$ 27,40",0%,"R$ 26,85",-2,"R$ 26,85",Cód: 1034668,https://www.farmaponte.com.br/cd-elmex-sensitive-110gr/p
Yasmin 3 + 003mg caixa com 21 + 7 comprimidos revestidos,Anticoncepcional,Bayer,"R$ 116,82",22%,"R$ 89,30",-24,"R$ 89,30",Cód: 1013695,https://www.farmaponte.com.br/yasmin-217cpr/p
Sonitus PLUS Triptofano 210mcg Kester 60 comprimídos,Vitaminas & Minerais,generico,"R$ 62,60",0%,"R$ 61,35",-2,"R$ 61,35",Cód: 1042453,https://www.farmaponte.com.br/sonitus-210-mcg-com-60-cpr-kester-melatonina/p
Tintura Cor E Ton Mini Kit N5.3 Castanho Claro Dourado,Coloração,Cor&Ton,"R$ 19,80",14%,"R$ 16,65",-16,"R$ 16,65",Cód: 1013305,https://www.farmaponte.com.br/tintura-cor-amp-ton-mini-no-53-castanho-claro-dourado/p
Bepantol Baby Creme 30 Gramas,Pomada para Assadura,Bepantol,"R$ 23,17",0%,"R$ 22,71",-2,"R$ 22,71",Cód: 1034064,https://www.farmaponte.com.br/bepantol-baby-cre-30gr-oferta/p
Máscara Facial Ouro e Caviar Beauty 4 Fun,Máscara Facial,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 7895389150629,https://www.farmaponte.com.br/mascara-facial-ouro-e-caviar-beauty-4-fun/p
Mousse Facial Vita C Mousse Beauty 4 Fun 50ml/45g,Limpeza e Tonificação,generico,,,"R$ 0,00",-100,"R$ 0,00",Cód: 548519414,https://www.farmaponte.com.br/mousse-facial-vita-c-mousse-beauty-4-fun-50ml45g/p
Energetico V9 Drink Limao 269ml,Suplementos,generico,"R$ 8,99",0%,"R$ 8,81",-2,"R$ 8,81",Cód: 1064966,https://www.farmaponte.com.br/v9-drink-limao/p
"Cloridrato De Terbinafina 250Mg Prati-Donaduzzi, Caixa Com 28 Comprimidos",Antimicotico,Prati-Donaduzzi,"R$ 168,67",48%,"R$ 85,96",-49,"R$ 85,96",Cód: 1034171,https://www.farmaponte.com.br/cloridrato-de-terbinafina-comprimido-prati-donaduzzi-250mg-caixa-com-28-comprimidos/p
"Sabonete Alma De Flores Classico, Barra, 1 Unidade Com 130G",Sabonetes em Barra,Alma de Flores,"R$ 7,72",10%,"R$ 6,81",-12,"R$ 6,81",Cód: 804611,https://www.farmaponte.com.br/sabonete-alma-de-flores-classico-barra-1-unidade-com-130g/p
Roupa Intima Tena Pants Confort P M Com 24 Unidades,Absorventes,Tena,"R$ 121,09",22%,"R$ 93,00",-23,"R$ 93,00",Cód: 1046806,https://www.farmaponte.com.br/roupa-intima-tena-pants-confort-p-m-com-24-unidades/p
Tesoura de Cutícula Trim 04754,Cuidados com as Unhas,generico,"R$ 31,75",0%,"R$ 31,12",-2,"R$ 31,12",Cód: 1050312,https://www.farmaponte.com.br/tesoura-de-cuticula-trim-04754/p
Umidita Locao Hidratante 120mL,Hidratante Corporal,Umiditá,,,"R$ 68,59",-12,"R$ 68,59",Cód: 1017394,https://www.farmaponte.com.br/umidita-lc-hidr-120ml/p
Diovan Amlo Fix 320 10mg 28 Comprimidos,Anti-hipertensivos,Novartis,"R$ 208,15",5%,"R$ 193,79",-7,"R$ 193,79",Cód: 799113,https://www.farmaponte.com.br/diovan-amlo-fix-320mg-10mg-caixa-com-28-comprimidos-revestidos/p
Tintura Cor E Ton Mini Kit N1.7 Preto Azulado Especial,Coloração,Cor&Ton,"R$ 19,80",14%,"R$ 16,65",-16,"R$ 16,65",Cód: 1036685,https://www.farmaponte.com.br/tintura-cor-amp-ton-mini-no-17-preto-azulado-especial/p
CHUP T1 KUKA ORTO NIGHT DAY RS 2082,Chupeta,generico,"R$ 17,99",0%,"R$ 17,63",-2,"R$ 17,63",Cód: 1048243,https://www.farmaponte.com.br/chupeta-kuka-ortodontica-lumina-numero-1-rosa/p
Chupeta Lolly 100  Silicone Ortodeontico Tamanho 1 Azul Ref 6111,Chupeta,Lolly,"R$ 15,99",0%,"R$ 15,67",-2,"R$ 15,67",Cód: 1038404,https://www.farmaponte.com.br/chup-lolly-silicone-rt1-azul-ref6011/p
Pincel Miss Frandy Champagne Po 60201,Pinceis,generico,"R$ 19,79",0%,"R$ 19,39",-2,"R$ 19,39",Cód: 1042646,https://www.farmaponte.com.br/pincel-miss-frandy-champagne-po-60201/p
"Roupa Intima Sensaty Pants P M, 16 Unidades",Fralda Adulta e Roupa Íntima,Sensaty,"R$ 69,60",20%,"R$ 54,58",-22,"R$ 54,58",Cód: 1037655,https://www.farmaponte.com.br/roupa-intima-sensaty-pants-pm-16-unidades/p
Sabonete Líquido Dermotivin Soft 120mL,Sabonetes Líquidos,Dermotivin,"R$ 59,14",2%,"R$ 56,74",-4,"R$ 56,74",Cód: 800983,https://www.farmaponte.com.br/dermotivin-sb-liq-soft-120ml/p
Base Líquida Vult Nano HD Cor V130 - 26ml,Base,generico,"R$ 41,89",0%,"R$ 41,05",-2,"R$ 41,05",Cód: 1045968,https://www.farmaponte.com.br/base-liquida-vult-nano-hd-cor-v130-26ml/p
Shampoo Tio Nacho Ervas Milenares 415mL,Shampoo,generico,"R$ 37,99",0%,"R$ 37,23",-2,"R$ 37,23",Cód: 1011859,https://www.farmaponte.com.br/shampoo-tio-nacho-antiqueda-ervas-milenares-415ml/p
Tintura Biocolor Mini Kit Creme N4.7 Marrom Escuro,Coloração,Biocolor,"R$ 16,70",22%,"R$ 12,73",-24,"R$ 12,73",Cód: 1041560,https://www.farmaponte.com.br/tintura-biocolor-mini-kit-creme-n47-marrom-escuro/p
Repelente Off! Kids loção com 117mL,Repelente Infantil,Off!,,,"R$ 18,61",-27,"R$ 18,61",Cód: 687294,https://www.farmaponte.com.br/repelente-off-kids-locao-com-117ml/p
Primera 20mg 63 Comprimidos,Anticoncepcional,Eurofarma,"R$ 94,63",14%,"R$ 79,75",-16,"R$ 79,75",Cód: 807823,https://www.farmaponte.com.br/primera-20mg-63cpr/p
"Venolise 26,7mg, caixa com 30 comprimidos revestidos",Antivaricoso,Myralis,,,"R$ 97,70",-20,"R$ 97,70",Cód: 806758,https://www.farmaponte.com.br/venolise-267mg-caixa-com-30-comprimidos-revestidos/p
Protetor Solar Facial Episol Sec OC FPS99 Pele Oleosa 60g,Protetor Solar Facial,generico,"R$ 122,90",0%,"R$ 120,44",-2,"R$ 120,44",Cód: 1032314,https://www.farmaponte.com.br/episol-sec-fps99-60gr/p
Stodal Xarope 150Ml,Broncodilatador,Boiron,"R$ 83,71",14%,"R$ 70,55",-16,"R$ 70,55",Cód: 1025846,https://www.farmaponte.com.br/stodal-xarope-150ml/p
Biofenac Aerosol 60g,Reumatismo,Aché,"R$ 39,77",10%,"R$ 35,07",-12,"R$ 35,07",Cód: 64513,https://www.farmaponte.com.br/biofenac-aerosol-60gr/p
"Protetor Labial Vult Balm Melancia 3,5g",Água Termal,generico,"R$ 19,49",0%,"R$ 19,10",-2,"R$ 19,10",Cód: 1043345,https://www.farmaponte.com.br/balm-protetor-labial-vult-melancia/p
Elastico De Cabelo Strass Bellesa Com 2 Unid 809B,Acessórios para Cabelo,Bellesa,"R$ 5,59",0%,"R$ 5,48",-2,"R$ 5,48",Cód: 1032717,https://www.farmaponte.com.br/elast-bellesa-strass-c-2-809b/p
Tio Nacho Shampoo Reconstrutor Total com Aloe Vera 415mL,Shampoo,generico,"R$ 37,99",0%,"R$ 37,23",-2,"R$ 37,23",Cód: 1041067,https://www.farmaponte.com.br/shampoo-tio-nacho-reconstrutor-total-415ml/p
Betrat 5000mcg + 100mg + 100mg 42 Comprimidos Myralis,Vitaminas & Minerais,Myralis,"R$ 120,99",42%,"R$ 68,50",-43,"R$ 68,50",Cód: 1030474,https://www.farmaponte.com.br/betrat-5000mcg-100mg-100mg-caixa-com-42-comprimidos-revestidos/p
Sabonete em Espuma Dermotivin Soft 130ml,Sabonete Facial,Dermotivin,,,"R$ 65,42",-2,"R$ 65,42",Cód: 803635,https://www.farmaponte.com.br/dermotivin-foam-soft-130ml/p
Dipropionato de Beclometasona 200mcg Genérico Glenmark Aerosol 200 Doses,Corticóide Anti-inflamatório,generico,"R$ 56,10",0%,"R$ 54,98",-2,"R$ 54,98",Cód: 1045325,https://www.farmaponte.com.br/dipropionato-de-beclometasona-200mcg-generico-glenmark-aerosol-200-doses/p
Pó Compacto Vult Tradicional V460,Pó Compacto,generico,"R$ 27,99",15%,"R$ 23,22",-17,"R$ 23,22",Cód: 1050003,https://www.farmaponte.com.br/po-compacto-vult-tradicional-v460/p
"Fralda Bummis Eg, 38 Unidades",Fraldas,Capricho,"R$ 59,73",13%,"R$ 50,85",-15,"R$ 50,85",Cód: 1039212,https://www.farmaponte.com.br/fralda-capricho-bummis-eg-38-unidades/p
Bronzeador Australian Gold  Ins Bronzeador Fps30 Sp Gel 237 Ml,Protetor Solar,O Boticário,"R$ 74,55",0%,"R$ 73,06",-2,"R$ 73,06",Cód: 1034408,https://www.farmaponte.com.br/br-aust-g-ins-br-fps30-sp-gel-237ml/p
Roupa Intima Tena Pants Noturna P M Com 16 Unidades,Fralda Adulta e Roupa Íntima,Tena,"R$ 99,85",20%,"R$ 78,30",-22,"R$ 78,30",Cód: 1044983,https://www.farmaponte.com.br/roupa-intima-tena-pants-noturna-p-m-com-16-unidades/p
Kit Infantil Acqua Kids Cabelos Lisos E Finos Shampoo 250Ml + Condicionador 250Ml,Kit Shampoo e Condicionador Infantil,Acqua Kids,"R$ 26,99",0%,"R$ 26,45",-2,"R$ 26,45",Cód: 704679,https://www.farmaponte.com.br/kit-infantil-acqua-kids-cabelos-lisos-e-finos-shampoo-250ml-condicionador-250ml/p
"Colágeno Vital Proteins frasco com 305g de pó para solução de uso oral, sabor dark chocolate e blackberry",Colágeno,Nestlé,,,"R$ 88,20",-61,"R$ 88,20",Cód: 1041935,https://www.farmaponte.com.br/vital-proteins-colla-peptides-305g/p
Escova Dental Curaprox Ortho Cs 5460 Ultra Soft Vermelha Com 1 Unidade,Escova Dental,Curaprox,"R$ 43,83",10%,"R$ 38,66",-12,"R$ 38,66",Cód: 1029269,https://www.farmaponte.com.br/escova-dental-curaprox-ortho-cs-5460-ultra-soft-vermelha-com-1-unidade/p
CHUP T1 KUKA SILIC ELEG ORTO RS 2912,Chupeta,generico,"R$ 32,75",0%,"R$ 32,10",-2,"R$ 32,10",Cód: 1047093,https://www.farmaponte.com.br/chupeta-de-silicone-elegance-rosa-orto-fase-1-kuka-2912/p
"Brasart Bcc 320 + 10Mg, Caixa Com 30 Comprimidos Revestidos",Anti-hipertensivos,EMS Sigma Pharma,"R$ 144,62",3%,"R$ 137,47",-5,"R$ 137,47",Cód: 1014821,https://www.farmaponte.com.br/brasart-bcc-320-10mg-caixa-com-30-comprimidos-revestidos/p
Protetor Solar Corporal Australian Gold Gel Creme FPS50 200g,Protetor Solar,generico,"R$ 72,79",0%,"R$ 71,33",-2,"R$ 71,33",Cód: 1042846,https://www.farmaponte.com.br/protetor-solar-corporal-australian-gold-gel-creme-fps50-200g/p
