name,sub_category,brand,unit_price,discount,discount_price,pix_discount,pix_price,code,link
CHUP T1 LOLLY SILICONE AZUL REF6014,Chupeta,Lolly,"R$ 19,19",0%,"R$ 18,81",-2,"R$ 18,81",Cód: 1038401,https://www.farmaponte.com.br/chupeta-lolly-special-0-a-6-meses-silicone-ortodontica-azul-com-1-unidade/p
"Belarina 2Mg + 0,02Mg, Caixa Com 24 Comprimidos Revestidos + 4 Placebos",Anticoncepcional,Grünenthal,"R$ 68,01",8%,"R$ 61,32",-10,"R$ 61,32",Cód: 1031067,https://www.farmaponte.com.br/belarina-2mg-002mg-caixa-com-24-comprimidos-revestidos-4-placebos/p
Creme Hidratante Facial Nivea Q10 Plus Noturno Com 50G,Hidrtatante Corporal,Nivea,"R$ 54,90",0%,"R$ 53,80",-2,"R$ 53,80",Cód: 83577,https://www.farmaponte.com.br/cr-nivea-q10-visage-antiss-noite-50gr/p
"Seki 3,54Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope + Copo Medidor",Antitussigeno,Zambon,"R$ 32,48",15%,"R$ 27,06",-17,"R$ 27,06",Cód: 28029,https://www.farmaponte.com.br/seki-354mgml-caixa-com-1-frasco-com-120ml-de-xarope-copo-medidor/p
Pente Catherine Black Power 313909,Acessórios para Cabelo,generico,,,"R$ 2,93",-2,"R$ 2,93",Cód: 1044515,https://www.farmaponte.com.br/pente-catherine-black-power-313909/p
Bronzeador Australian Gold  Ins Bronzeador Fps15 Sp Gel 125 Ml,Protetor Solar,O Boticário,"R$ 45,49",0%,"R$ 44,58",-2,"R$ 44,58",Cód: 1032164,https://www.farmaponte.com.br/br-aust-g-ins-br-fps15-sp-gel-125ml/p
Tiara Catherine Stones Fine 311103,Acessórios para Cabelo,generico,"R$ 13,17",10%,"R$ 11,61",-12,"R$ 11,61",Cód: 1044537,https://www.farmaponte.com.br/tiara-catherine-stones-fine-311103/p
Shampoo Clear Men Limpeza Diaria 2X1 400 Ml,Shampoo Anticaspa,Clear,"R$ 33,90",0%,"R$ 33,21",-2,"R$ 33,21",Cód: 807894,https://www.farmaponte.com.br/sh-clear-men-limp-diaria-2x1-400ml/p
Fisiogel Creme Facial Diario Fps20 Acao Calmante 40Ml,Rosto,generico,,,"R$ 83,00",-2,"R$ 83,00",Cód: 1042208,https://www.farmaponte.com.br/fisiogel-creme-facial-diario-fps20-acao-calmante-40ml/p
Filtrum Ultra Seco Fps30 60Gr,Protetor Solar Dario,Libbs,"R$ 73,99",0%,"R$ 72,51",-2,"R$ 72,51",Cód: 1017133,https://www.farmaponte.com.br/protetor-solar-filtrum-ultra-seco-fps-30-60g/p
